axis,axis_value,metric,direction,null,observed_mean,observed_ci_low,observed_ci_high,null_mean,null_ci_low,null_ci_high,paired_superiority,split_null_failures,split_null_failure_rate,standardized_separation,n_splits
latent_dim,8,acceleration_direction_cosine,higher,block_shuffle_16,0.5745449097493158,0.5365287590422183,0.5993490638807301,-0.0017523975296217513,-0.0847850694298079,0.08132634709212436,1.0,0,0.0,17.354548666386936,100
latent_dim,8,acceleration_direction_cosine,higher,circular_shift,0.5745449097493158,0.5365287590422183,0.5993490638807301,0.0015549149220711479,-0.0745626191310444,0.06604416158880841,1.0,0,0.0,18.53267975167028,100
latent_dim,8,acceleration_direction_cosine,higher,condition_shuffle,0.5745449097493158,0.5365287590422183,0.5993490638807301,0.015346160179898056,-0.03673902387702197,0.06079041195781479,1.0,0,0.0,25.64799820101754,100
latent_dim,8,acceleration_direction_cosine,higher,independent_neuron_shift,0.5745449097493158,0.5365287590422183,0.5993490638807301,0.00039513687177959814,-0.055622935849154106,0.0646990909561454,1.0,0,0.0,22.031777995858693,100
latent_dim,8,acceleration_direction_cosine,higher,time_reversal,0.5745449097493158,0.5365287590422183,0.5993490638807301,0.06837280022346855,0.04587059727664852,0.0948796899699214,1.0,0,0.0,33.468188465991844,100
latent_dim,8,best_lag_correlation,higher,block_shuffle_16,0.8630737939857628,0.8332886865263214,0.8904650148605772,0.37883935045622147,0.2871631564913967,0.4722423093254261,1.0,0,0.0,12.293488353525719,100
latent_dim,8,best_lag_correlation,higher,circular_shift,0.8630737939857628,0.8332886865263214,0.8904650148605772,0.2857574064132149,0.20440536777468454,0.37034254783005455,1.0,0,0.0,17.394202219641464,100
latent_dim,8,best_lag_correlation,higher,condition_shuffle,0.8630737939857628,0.8332886865263214,0.8904650148605772,0.050960977161252946,-0.041797417425045405,0.1517309462924854,1.0,0,0.0,22.751861712776925,100
latent_dim,8,best_lag_correlation,higher,independent_neuron_shift,0.8630737939857628,0.8332886865263214,0.8904650148605772,0.4917228643321008,0.454463646506026,0.5291645258423723,1.0,0,0.0,19.99762546911461,100
latent_dim,8,best_lag_correlation,higher,time_reversal,0.8630737939857628,0.8332886865263214,0.8904650148605772,0.329265809794038,0.31578475476525314,0.34335728050807784,1.0,0,0.0,46.86786752655546,100
latent_dim,8,normalized_position_rmse,lower,block_shuffle_16,0.5536956890825679,0.49946371812981644,0.6159971346512938,1.167313739816683,1.0635620134536283,1.2615471868972117,1.0,0,0.0,13.650106271249205,100
latent_dim,8,normalized_position_rmse,lower,circular_shift,0.5536956890825679,0.49946371812981644,0.6159971346512938,1.2869095689311527,1.1874355234029066,1.3851749499021437,1.0,0,0.0,16.490386111482216,100
latent_dim,8,normalized_position_rmse,lower,condition_shuffle,0.5536956890825679,0.49946371812981644,0.6159971346512938,1.447884796379236,1.3329331353069462,1.5660937208101267,1.0,0,0.0,18.014331262250657,100
latent_dim,8,normalized_position_rmse,lower,independent_neuron_shift,0.5536956890825679,0.49946371812981644,0.6159971346512938,0.9501208583972591,0.9081579323673576,0.989095620902704,1.0,0,0.0,13.64831269411583,100
latent_dim,8,normalized_position_rmse,lower,time_reversal,0.5536956890825679,0.49946371812981644,0.6159971346512938,1.2145760619250068,1.155168634056471,1.2943876182013045,1.0,0,0.0,17.648949052736427,100
latent_dim,8,path_length_similarity,higher,block_shuffle_16,0.9478314426836963,0.8716509243495209,0.9978857559684718,0.8402425023012867,0.7305062750389121,0.9765266929599216,0.93,7,0.07,2.1084767630341945,100
