split,null,metric,value
0,condition_shuffle,position_correlation,-0.007397579850758545
0,condition_shuffle,position_cosine,0.03352799531908926
0,condition_shuffle,normalized_position_rmse,1.3988971941375345
0,condition_shuffle,velocity_direction_cosine,0.09205837133870673
0,condition_shuffle,speed_profile_correlation,-0.020559552535186435
0,condition_shuffle,path_length_similarity,0.9071967168757403
0,condition_shuffle,acceleration_direction_cosine,0.0923200789914924
0,condition_shuffle,zero_lag_correlation,0.01320082886218669
0,condition_shuffle,best_lag_correlation,0.01975619740907075
0,circular_shift,position_correlation,0.05645758329436839
0,circular_shift,position_cosine,0.11546963037404595
0,circular_shift,normalized_position_rmse,1.3479689355545246
0,circular_shift,velocity_direction_cosine,-0.017479126004702177
0,circular_shift,speed_profile_correlation,0.08568691735135771
0,circular_shift,path_length_similarity,0.9857822977390258
0,circular_shift,acceleration_direction_cosine,-0.002541884903073469
0,circular_shift,zero_lag_correlation,0.0757756475939782
0,circular_shift,best_lag_correlation,0.12569394327450617
0,time_reversal,position_correlation,0.20936933146436812
0,time_reversal,position_cosine,0.22867346819401874
0,time_reversal,normalized_position_rmse,1.238455077069346
0,time_reversal,velocity_direction_cosine,0.06827395643060762
0,time_reversal,speed_profile_correlation,0.1215629924624729
0,time_reversal,path_length_similarity,0.9694954300170843
0,time_reversal,acceleration_direction_cosine,0.06404232119937012
0,time_reversal,zero_lag_correlation,0.225592396079567
0,time_reversal,best_lag_correlation,0.23482738489499938
0,independent_neuron_shift,position_correlation,0.36505687531799313
0,independent_neuron_shift,position_cosine,0.38178955989902463
0,independent_neuron_shift,normalized_position_rmse,0.9608821654685773
0,independent_neuron_shift,velocity_direction_cosine,-0.06012166167916216
0,independent_neuron_shift,speed_profile_correlation,0.2844416161908941
0,independent_neuron_shift,path_length_similarity,0.4850490008212911
0,independent_neuron_shift,acceleration_direction_cosine,-0.021711008476532838
0,independent_neuron_shift,zero_lag_correlation,0.3847602938103054
0,independent_neuron_shift,best_lag_correlation,0.4379098041688353
0,block_shuffle_16,position_correlation,0.23778497377111119
0,block_shuffle_16,position_cosine,0.32424017501875313
0,block_shuffle_16,normalized_position_rmse,1.184749517177753
0,block_shuffle_16,velocity_direction_cosine,-0.05681255423357465
0,block_shuffle_16,speed_profile_correlation,0.27890333649337035
0,block_shuffle_16,path_length_similarity,0.8643351146061043
