split,metric,value
0,position_correlation,0.8948951789801054
0,position_cosine,0.871597164209799
0,normalized_position_rmse,0.45351265283469483
0,velocity_direction_cosine,0.6837444741482641
0,speed_profile_correlation,0.8015788225816951
0,path_length_similarity,0.9705081528819344
0,acceleration_direction_cosine,0.6186540263775471
0,zero_lag_correlation,0.8970866750375935
0,best_lag_correlation,0.8970866750375935
1,position_correlation,0.8636316924923944
1,position_cosine,0.8485716136689894
1,normalized_position_rmse,0.5274236915114716
1,velocity_direction_cosine,0.6828557730652889
1,speed_profile_correlation,0.7890414718276192
1,path_length_similarity,0.996446978729428
1,acceleration_direction_cosine,0.6455707252688339
1,zero_lag_correlation,0.8660707484065222
1,best_lag_correlation,0.8660707484065222
2,position_correlation,0.8652596184706768
2,position_cosine,0.8569457494120629
2,normalized_position_rmse,0.5168894983205664
2,velocity_direction_cosine,0.6648081357166813
2,speed_profile_correlation,0.7473557621393171
2,path_length_similarity,0.981009997816475
2,acceleration_direction_cosine,0.619538948900865
2,zero_lag_correlation,0.8676436194764499
2,best_lag_correlation,0.8676436194764499
3,position_correlation,0.8258720691888638
3,position_cosine,0.816801962660449
3,normalized_position_rmse,0.5888896191448375
3,velocity_direction_cosine,0.6555554464977015
3,speed_profile_correlation,0.7265109404583988
3,path_length_similarity,0.9490456551412566
3,acceleration_direction_cosine,0.625066632906213
3,zero_lag_correlation,0.8293721207840847
3,best_lag_correlation,0.8293721207840847
4,position_correlation,0.8688990009371266
4,position_cosine,0.8545808317748309
4,normalized_position_rmse,0.5433055912354741
4,velocity_direction_cosine,0.6547625065233174
4,speed_profile_correlation,0.7381635586674234
4,path_length_similarity,0.9324606974892925
4,acceleration_direction_cosine,0.6168002339771225
4,zero_lag_correlation,0.8709410253523289
4,best_lag_correlation,0.8709410253523289
5,position_correlation,0.8390713576003889
5,position_cosine,0.8237021287003709
5,normalized_position_rmse,0.6615437733087748
5,velocity_direction_cosine,0.6489505392503058
5,speed_profile_correlation,0.780433034300547
5,path_length_similarity,0.898857305894022
5,acceleration_direction_cosine,0.6140039771568676
5,zero_lag_correlation,0.8432175062095069
5,best_lag_correlation,0.8432175062095069
6,position_correlation,0.8344136404490434
6,position_cosine,0.8372211885090167
6,normalized_position_rmse,0.5523370227158628
6,velocity_direction_cosine,0.6620169063030095
6,speed_profile_correlation,0.7172687865431099
6,path_length_similarity,0.8914012893801568
6,acceleration_direction_cosine,0.617209774488806
6,zero_lag_correlation,0.8385787696328537
6,best_lag_correlation,0.8385787696328537
7,position_correlation,0.8250742255041535
7,position_cosine,0.8369944248047377
7,normalized_position_rmse,0.5978364995112097
7,velocity_direction_cosine,0.6431472809659864
7,speed_profile_correlation,0.6608640332602645
7,path_length_similarity,0.9886939003039363
7,acceleration_direction_cosine,0.6129412101652295
7,zero_lag_correlation,0.8279724213455282
7,best_lag_correlation,0.8279724213455282
8,position_correlation,0.8544090075980889
8,position_cosine,0.8315234029850305
8,normalized_position_rmse,0.5265994925293792
8,velocity_direction_cosine,0.6368928520500838
8,speed_profile_correlation,0.717788644535599
8,path_length_similarity,0.98157799903338
8,acceleration_direction_cosine,0.5917010121647504
8,zero_lag_correlation,0.8574001138004986
8,best_lag_correlation,0.8574001138004986
9,position_correlation,0.8431208716249381
9,position_cosine,0.8323578469178263
9,normalized_position_rmse,0.5674579891003573
9,velocity_direction_cosine,0.6780629055457377
9,speed_profile_correlation,0.722616515985861
9,path_length_similarity,0.9665631462650185
9,acceleration_direction_cosine,0.6301271397715614
9,zero_lag_correlation,0.8453966038127965
9,best_lag_correlation,0.8453966038127965
10,position_correlation,0.8596922977739718
10,position_cosine,0.8397463207563539
10,normalized_position_rmse,0.5186940831217055
10,velocity_direction_cosine,0.6757678702170193
10,speed_profile_correlation,0.7544908333609364
10,path_length_similarity,0.9732951567294862
10,acceleration_direction_cosine,0.6423033813125951
10,zero_lag_correlation,0.8620353454477279
10,best_lag_correlation,0.8620353454477279
11,position_correlation,0.845660774950048
11,position_cosine,0.8317170709980408
11,normalized_position_rmse,0.5395532913974939
11,velocity_direction_cosine,0.6694822765324984
11,speed_profile_correlation,0.762386651598117
11,path_length_similarity,0.9046675048275318
11,acceleration_direction_cosine,0.63182503209045
11,zero_lag_correlation,0.8488892878358829
11,best_lag_correlation,0.8488892878358829
12,position_correlation,0.8561093002071102
12,position_cosine,0.8539336823578594
12,normalized_position_rmse,0.5450841926263845
12,velocity_direction_cosine,0.6604625524749675
12,speed_profile_correlation,0.7086121217881217
12,path_length_similarity,0.9731936089963446
12,acceleration_direction_cosine,0.5931540183708057
12,zero_lag_correlation,0.8591006271999164
12,best_lag_correlation,0.8591006271999164
13,position_correlation,0.8301934917278275
13,position_cosine,0.835246515141629
13,normalized_position_rmse,0.5900382171441204
13,velocity_direction_cosine,0.6647262956888569
13,speed_profile_correlation,0.7091639193562892
13,path_length_similarity,0.963383836187115
13,acceleration_direction_cosine,0.5998293973883011
13,zero_lag_correlation,0.8331250065487785
13,best_lag_correlation,0.8342450497263508
14,position_correlation,0.865822656318548
14,position_cosine,0.8481350807302297
14,normalized_position_rmse,0.5144440743579273
14,velocity_direction_cosine,0.6723980266896238
14,speed_profile_correlation,0.7523013222558419
14,path_length_similarity,0.9724365128627603
14,acceleration_direction_cosine,0.6280992295195262
14,zero_lag_correlation,0.8678871492955273
14,best_lag_correlation,0.8678871492955273
15,position_correlation,0.8625358941393045
15,position_cosine,0.8380407371518611
15,normalized_position_rmse,0.5221599141948645
15,velocity_direction_cosine,0.6673686943979674
15,speed_profile_correlation,0.7809265748086316
15,path_length_similarity,0.9638983137859233
15,acceleration_direction_cosine,0.6230045078020475
15,zero_lag_correlation,0.8647820199758172
15,best_lag_correlation,0.8651438334371158
16,position_correlation,0.8546854501249681
16,position_cosine,0.8440511996625325
16,normalized_position_rmse,0.5274661244514294
16,velocity_direction_cosine,0.6676004986461161
16,speed_profile_correlation,0.7134938455506913
16,path_length_similarity,0.9502441723736861
16,acceleration_direction_cosine,0.5915828223720625
16,zero_lag_correlation,0.8580803480464594
16,best_lag_correlation,0.8580803480464594
17,position_correlation,0.8603385022444205
17,position_cosine,0.8300787523321588
17,normalized_position_rmse,0.5242232957780782
17,velocity_direction_cosine,0.6752605454090123
17,speed_profile_correlation,0.7409051792388969
17,path_length_similarity,0.9685990022440419
17,acceleration_direction_cosine,0.616651722770398
17,zero_lag_correlation,0.8627702771441359
17,best_lag_correlation,0.8627702771441359
18,position_correlation,0.8362610360550222
18,position_cosine,0.8211086560507417
18,normalized_position_rmse,0.5955374866889244
18,velocity_direction_cosine,0.6537810816610891
18,speed_profile_correlation,0.7138457146805304
18,path_length_similarity,0.9916715071484742
18,acceleration_direction_cosine,0.6159515828707126
18,zero_lag_correlation,0.8389882109464535
18,best_lag_correlation,0.8389882109464535
19,position_correlation,0.8552503254073107
19,position_cosine,0.8396608617107104
19,normalized_position_rmse,0.528413720983565
19,velocity_direction_cosine,0.6508143943717033
19,speed_profile_correlation,0.7481843987805944
19,path_length_similarity,0.9855699667309142
19,acceleration_direction_cosine,0.6179655919115746
19,zero_lag_correlation,0.8584563525224953
19,best_lag_correlation,0.8584563525224953
20,position_correlation,0.8685729046661941
20,position_cosine,0.8528795190653744
20,normalized_position_rmse,0.5820194510794678
20,velocity_direction_cosine,0.6669249221096211
20,speed_profile_correlation,0.7711310529778145
20,path_length_similarity,0.8222341297123106
20,acceleration_direction_cosine,0.6117608002679265
20,zero_lag_correlation,0.8728380652780852
20,best_lag_correlation,0.8728380652780852
21,position_correlation,0.8901848517443667
21,position_cosine,0.8681338722894115
21,normalized_position_rmse,0.4956970860156751
21,velocity_direction_cosine,0.6560199279696833
21,speed_profile_correlation,0.7939192450541925
21,path_length_similarity,0.9336166885909042
21,acceleration_direction_cosine,0.6078072641979194
21,zero_lag_correlation,0.89178672554176
21,best_lag_correlation,0.89178672554176
22,position_correlation,0.8617452810307679
22,position_cosine,0.8461226951315366
22,normalized_position_rmse,0.5418910773098106
22,velocity_direction_cosine,0.6675262522905697
22,speed_profile_correlation,0.7553407417075891
22,path_length_similarity,0.8908174667228254
22,acceleration_direction_cosine,0.6232512540464584
22,zero_lag_correlation,0.86463493952933
22,best_lag_correlation,0.86463493952933
23,position_correlation,0.8286055029374988
23,position_cosine,0.816579561444078
23,normalized_position_rmse,0.589029262346093
23,velocity_direction_cosine,0.6994507524157115
