split,metric,value
0,position_correlation,0.8948951789801054
0,position_cosine,0.871597164209799
0,normalized_position_rmse,0.45351265283469483
0,velocity_direction_cosine,0.6837444741482641
0,speed_profile_correlation,0.8015788225816951
0,path_length_similarity,0.9705081528819344
0,acceleration_direction_cosine,0.6186540263775471
0,zero_lag_correlation,0.8970866750375935
0,best_lag_correlation,0.8970866750375935
1,position_correlation,0.8776758881479481
1,position_cosine,0.8659635424206076
1,normalized_position_rmse,0.5026766535475705
1,velocity_direction_cosine,0.6828103485641103
1,speed_profile_correlation,0.7701763463750241
1,path_length_similarity,0.8778855826727483
1,acceleration_direction_cosine,0.6352003863701464
1,zero_lag_correlation,0.880157258010811
1,best_lag_correlation,0.880157258010811
2,position_correlation,0.8099103846278191
2,position_cosine,0.8022592179436336
2,normalized_position_rmse,0.5924933638714528
2,velocity_direction_cosine,0.6491278640072736
2,speed_profile_correlation,0.6879548801720808
2,path_length_similarity,0.8715605769632169
2,acceleration_direction_cosine,0.6039765557031187
2,zero_lag_correlation,0.8149564540649279
2,best_lag_correlation,0.8149564540649279
3,position_correlation,0.8886702731061826
3,position_cosine,0.8695097771650381
3,normalized_position_rmse,0.47296264196391447
3,velocity_direction_cosine,0.6743778899470522
3,speed_profile_correlation,0.7779806663622645
3,path_length_similarity,0.9212451735344191
3,acceleration_direction_cosine,0.6310185635096778
3,zero_lag_correlation,0.8905055361564509
3,best_lag_correlation,0.8905055361564509
4,position_correlation,0.8735132989259984
4,position_cosine,0.8581293375384753
4,normalized_position_rmse,0.5239982714412978
4,velocity_direction_cosine,0.669748882842046
4,speed_profile_correlation,0.7696108518040989
4,path_length_similarity,0.9531434593445748
4,acceleration_direction_cosine,0.6301281984377861
4,zero_lag_correlation,0.8761146778492893
4,best_lag_correlation,0.8761146778492893
5,position_correlation,0.854926170224233
5,position_cosine,0.8565981306013754
5,normalized_position_rmse,0.5816054472347717
5,velocity_direction_cosine,0.6735349360353186
5,speed_profile_correlation,0.7486708519785841
5,path_length_similarity,0.9105820210191267
5,acceleration_direction_cosine,0.6057918399516644
5,zero_lag_correlation,0.8581348873493746
5,best_lag_correlation,0.8581348873493746
6,position_correlation,0.8714015082974353
6,position_cosine,0.8602836322506772
6,normalized_position_rmse,0.49478429978936217
6,velocity_direction_cosine,0.6731704535672671
6,speed_profile_correlation,0.7217150409278751
6,path_length_similarity,0.9931741270468085
6,acceleration_direction_cosine,0.5973388100331168
6,zero_lag_correlation,0.8745828083303294
6,best_lag_correlation,0.8745828083303294
7,position_correlation,0.8328201372685524
7,position_cosine,0.8337750229791224
7,normalized_position_rmse,0.5629441696015476
7,velocity_direction_cosine,0.6641433396789536
7,speed_profile_correlation,0.7171486095298887
7,path_length_similarity,0.9009861916200377
7,acceleration_direction_cosine,0.6279177642452569
7,zero_lag_correlation,0.836126598547616
7,best_lag_correlation,0.836126598547616
8,position_correlation,0.8653725886500143
8,position_cosine,0.837149678092564
8,normalized_position_rmse,0.5060299021094276
8,velocity_direction_cosine,0.6657658565029555
8,speed_profile_correlation,0.7758560128427964
8,path_length_similarity,0.9310551785979401
8,acceleration_direction_cosine,0.6349795192112557
8,zero_lag_correlation,0.8685889096829909
8,best_lag_correlation,0.8692678871307409
9,position_correlation,0.8840769057728913
9,position_cosine,0.8562928500000017
9,normalized_position_rmse,0.5325973798815765
9,velocity_direction_cosine,0.6701424518095099
9,speed_profile_correlation,0.7726089224246718
9,path_length_similarity,0.976260725312385
9,acceleration_direction_cosine,0.6194958089587113
9,zero_lag_correlation,0.8855345700825166
9,best_lag_correlation,0.8855345700825166
10,position_correlation,0.861771792841791
10,position_cosine,0.8551910638060426
10,normalized_position_rmse,0.5336897671530147
10,velocity_direction_cosine,0.6482454408117363
10,speed_profile_correlation,0.7218121861205175
10,path_length_similarity,0.9055628549070326
10,acceleration_direction_cosine,0.5959026472514771
10,zero_lag_correlation,0.8640127681174175
10,best_lag_correlation,0.8640127681174175
11,position_correlation,0.8728283372526635
11,position_cosine,0.8448772114769562
11,normalized_position_rmse,0.49635808529509345
11,velocity_direction_cosine,0.660688414598207
11,speed_profile_correlation,0.7444423724282986
11,path_length_similarity,0.8919238277952578
11,acceleration_direction_cosine,0.5995423446571453
11,zero_lag_correlation,0.8756844132621772
11,best_lag_correlation,0.8756844132621772
12,position_correlation,0.8729098875828138
12,position_cosine,0.8518785381033855
12,normalized_position_rmse,0.4968062952538305
12,velocity_direction_cosine,0.6694265090314271
12,speed_profile_correlation,0.7536023920692521
12,path_length_similarity,0.9091797636613625
12,acceleration_direction_cosine,0.6177601818191072
12,zero_lag_correlation,0.875397436794041
12,best_lag_correlation,0.875397436794041
13,position_correlation,0.8451234122471336
13,position_cosine,0.8121378356371278
13,normalized_position_rmse,0.5439484916997241
13,velocity_direction_cosine,0.6473753172227759
13,speed_profile_correlation,0.7606389701124487
13,path_length_similarity,0.9769075125510089
13,acceleration_direction_cosine,0.622691097158085
13,zero_lag_correlation,0.8484446796669196
13,best_lag_correlation,0.8484446796669196
14,position_correlation,0.8528952777586385
14,position_cosine,0.8459257901511131
14,normalized_position_rmse,0.5299676906567489
14,velocity_direction_cosine,0.6802011877668797
14,speed_profile_correlation,0.7763046340987533
14,path_length_similarity,0.9427132981404616
14,acceleration_direction_cosine,0.629952047871201
14,zero_lag_correlation,0.8559549144949925
14,best_lag_correlation,0.8559549144949925
15,position_correlation,0.863109321685008
15,position_cosine,0.8590000836229789
15,normalized_position_rmse,0.5329900199237949
15,velocity_direction_cosine,0.6625299062165554
15,speed_profile_correlation,0.7509595275747867
15,path_length_similarity,0.9797768772276049
15,acceleration_direction_cosine,0.6065748961165393
15,zero_lag_correlation,0.865495151757541
15,best_lag_correlation,0.865495151757541
16,position_correlation,0.8803073655442398
16,position_cosine,0.8741392057262244
16,normalized_position_rmse,0.4826279669800587
16,velocity_direction_cosine,0.68126390142539
16,speed_profile_correlation,0.7633007955998855
16,path_length_similarity,0.9311010996298884
16,acceleration_direction_cosine,0.624238358361771
16,zero_lag_correlation,0.8826880583479645
16,best_lag_correlation,0.8826880583479645
17,position_correlation,0.8513487726284348
17,position_cosine,0.8294771058530646
17,normalized_position_rmse,0.564381153904024
17,velocity_direction_cosine,0.6782664699445016
17,speed_profile_correlation,0.7897902950906219
17,path_length_similarity,0.9970559412389711
17,acceleration_direction_cosine,0.6190844801961976
17,zero_lag_correlation,0.8543714937076923
17,best_lag_correlation,0.8543714937076923
18,position_correlation,0.88718981229634
18,position_cosine,0.8581042817980518
18,normalized_position_rmse,0.48251835654235764
18,velocity_direction_cosine,0.6724024569402334
18,speed_profile_correlation,0.8153802352671561
18,path_length_similarity,0.9649286934389643
18,acceleration_direction_cosine,0.6298587866900075
18,zero_lag_correlation,0.8893755395235419
18,best_lag_correlation,0.8893755395235419
19,position_correlation,0.852364444162776
19,position_cosine,0.8469891027285148
19,normalized_position_rmse,0.5431327791911621
19,velocity_direction_cosine,0.6174550077072357
19,speed_profile_correlation,0.7167584269735192
19,path_length_similarity,0.9964790370826009
19,acceleration_direction_cosine,0.58676649253048
19,zero_lag_correlation,0.8549431571144157
19,best_lag_correlation,0.8549431571144157
20,position_correlation,0.8427439950167157
20,position_cosine,0.8287190025035018
20,normalized_position_rmse,0.5499067765638118
20,velocity_direction_cosine,0.6406383441909741
20,speed_profile_correlation,0.7511973632540548
20,path_length_similarity,0.9655540873616811
20,acceleration_direction_cosine,0.5846150727915861
20,zero_lag_correlation,0.845492600586237
20,best_lag_correlation,0.845492600586237
21,position_correlation,0.8747705095316703
21,position_cosine,0.8580619297755508
21,normalized_position_rmse,0.4883037958454533
21,velocity_direction_cosine,0.6526748480096523
21,speed_profile_correlation,0.7864055533253689
21,path_length_similarity,0.9175148676856542
21,acceleration_direction_cosine,0.5942942778652945
21,zero_lag_correlation,0.8771663714748266
21,best_lag_correlation,0.8771663714748266
22,position_correlation,0.8212546189171598
22,position_cosine,0.8149825781945257
22,normalized_position_rmse,0.5837735445040958
22,velocity_direction_cosine,0.6842748586894369
22,speed_profile_correlation,0.7106698567577718
22,path_length_similarity,0.9283358572845636
22,acceleration_direction_cosine,0.6261163190702411
22,zero_lag_correlation,0.8243372960668744
22,best_lag_correlation,0.8243372960668744
23,position_correlation,0.880219442964298
23,position_cosine,0.8655647962005311
23,normalized_position_rmse,0.49246250687148935
23,velocity_direction_cosine,0.6855088922528858
