model,metric,value
static,position_correlation,0.5202750821600726
static,position_cosine,0.3824786206039892
static,normalized_position_rmse,0.8704529395266865
static,velocity_direction_cosine,0.3044816333499971
static,speed_profile_correlation,0.5270740963361309
static,path_length_similarity,0.5600181085922523
static,acceleration_direction_cosine,0.18501191021819963
static,zero_lag_correlation,0.5477818026768868
static,best_lag_correlation,0.5496406684538244
dynamic,position_correlation,0.7262191334662801
dynamic,position_cosine,0.7230190323837339
dynamic,normalized_position_rmse,0.7048301456243083
dynamic,velocity_direction_cosine,0.49846192053802835
dynamic,speed_profile_correlation,0.5375384808931616
dynamic,path_length_similarity,0.7035034628030709
dynamic,acceleration_direction_cosine,0.4524882094076155
dynamic,zero_lag_correlation,0.7341794030183546
dynamic,best_lag_correlation,0.7369334725895335
