model,null,permutation,metric,value
static,condition_shuffle,0,position_correlation,-0.0024849571259994187
static,condition_shuffle,0,position_cosine,-0.010253547918815371
static,condition_shuffle,0,normalized_position_rmse,1.197176569840753
static,condition_shuffle,0,velocity_direction_cosine,-0.03694172573068448
static,condition_shuffle,0,speed_profile_correlation,-0.16156519220249196
static,condition_shuffle,0,path_length_similarity,0.666114003293904
static,condition_shuffle,0,acceleration_direction_cosine,-0.03891614620283788
static,condition_shuffle,0,zero_lag_correlation,0.09850197076314396
static,condition_shuffle,0,best_lag_correlation,0.12400400399160158
static,condition_shuffle,1,position_correlation,-0.10594507636243292
static,condition_shuffle,1,position_cosine,-0.1009531206261654
static,condition_shuffle,1,normalized_position_rmse,1.251770512545181
static,condition_shuffle,1,velocity_direction_cosine,-0.020018402227713696
static,condition_shuffle,1,speed_profile_correlation,-0.02944430761215665
static,condition_shuffle,1,path_length_similarity,0.6470687157582948
static,condition_shuffle,1,acceleration_direction_cosine,-0.03862156400562408
static,condition_shuffle,1,zero_lag_correlation,0.009584414930449932
static,condition_shuffle,1,best_lag_correlation,0.027320832460996508
static,condition_shuffle,2,position_correlation,-0.04562351591241185
static,condition_shuffle,2,position_cosine,-0.07759908385351699
static,condition_shuffle,2,normalized_position_rmse,1.220236903104747
static,condition_shuffle,2,velocity_direction_cosine,-0.05514265188752979
static,condition_shuffle,2,speed_profile_correlation,-0.15058118267644352
static,condition_shuffle,2,path_length_similarity,0.66194280108377
static,condition_shuffle,2,acceleration_direction_cosine,-0.06716935884818555
static,condition_shuffle,2,zero_lag_correlation,0.06142705496233158
static,condition_shuffle,2,best_lag_correlation,0.07405969431011046
static,condition_shuffle,3,position_correlation,-0.05758406432590696
static,condition_shuffle,3,position_cosine,-0.06870904817383579
static,condition_shuffle,3,normalized_position_rmse,1.226553819863582
static,condition_shuffle,3,velocity_direction_cosine,0.041487197943538424
static,condition_shuffle,3,speed_profile_correlation,-0.15050496715461556
static,condition_shuffle,3,path_length_similarity,0.6294511337857951
static,condition_shuffle,3,acceleration_direction_cosine,0.03746422295988207
static,condition_shuffle,3,zero_lag_correlation,0.051147705400437005
static,condition_shuffle,3,best_lag_correlation,0.05682588923220489
