split,null,metric,value
0,condition_shuffle,position_correlation,0.0019246234758490983
0,condition_shuffle,position_cosine,0.019310957936565697
0,condition_shuffle,normalized_position_rmse,1.4086165757816833
0,condition_shuffle,velocity_direction_cosine,0.04203707488423349
0,condition_shuffle,speed_profile_correlation,-0.0499058558433367
0,condition_shuffle,path_length_similarity,0.8412794452679047
0,condition_shuffle,acceleration_direction_cosine,0.043672034689834584
0,condition_shuffle,zero_lag_correlation,0.037978282956704836
0,condition_shuffle,best_lag_correlation,0.05656488991551373
0,circular_shift,position_correlation,0.12209781595890866
0,circular_shift,position_cosine,0.19251890815296238
0,circular_shift,normalized_position_rmse,1.3185975973594253
0,circular_shift,velocity_direction_cosine,0.022035729242633674
0,circular_shift,speed_profile_correlation,0.17941546531043706
0,circular_shift,path_length_similarity,0.988320302964416
0,circular_shift,acceleration_direction_cosine,-0.010163770155672398
0,circular_shift,zero_lag_correlation,0.153548439349099
0,circular_shift,best_lag_correlation,0.19843189062753036
0,frame_shuffle,position_correlation,0.2917239092547455
0,frame_shuffle,position_cosine,0.3067988425338596
0,frame_shuffle,normalized_position_rmse,1.0527746492476733
0,frame_shuffle,velocity_direction_cosine,0.005308597028596344
0,frame_shuffle,speed_profile_correlation,0.2439124334507403
0,frame_shuffle,path_length_similarity,0.9952502957945882
0,frame_shuffle,acceleration_direction_cosine,0.029216422787936076
0,frame_shuffle,zero_lag_correlation,0.3221462455335068
0,frame_shuffle,best_lag_correlation,0.3256422896701018
0,time_reversal,position_correlation,0.3016737447132095
0,time_reversal,position_cosine,0.3445717597711699
0,time_reversal,normalized_position_rmse,1.1777978005856942
0,time_reversal,velocity_direction_cosine,0.133056193886176
0,time_reversal,speed_profile_correlation,0.22377981335427669
0,time_reversal,path_length_similarity,0.9978966944648388
0,time_reversal,acceleration_direction_cosine,0.09397253718728092
0,time_reversal,zero_lag_correlation,0.3268898036242296
0,time_reversal,best_lag_correlation,0.3285487444644701
0,independent_neuron_shift,position_correlation,0.4142521044249886
0,independent_neuron_shift,position_cosine,0.41003468900933165
0,independent_neuron_shift,normalized_position_rmse,0.937005996946235
0,independent_neuron_shift,velocity_direction_cosine,0.08924780549505593
0,independent_neuron_shift,speed_profile_correlation,0.29151417931349377
0,independent_neuron_shift,path_length_similarity,0.5810429262533484
0,independent_neuron_shift,acceleration_direction_cosine,0.07713076287631698
0,independent_neuron_shift,zero_lag_correlation,0.4446395608993867
0,independent_neuron_shift,best_lag_correlation,0.4499723849353334
0,block_shuffle_4,position_correlation,0.33888289862692156
0,block_shuffle_4,position_cosine,0.37906828096875095
0,block_shuffle_4,normalized_position_rmse,1.032921089417384
0,block_shuffle_4,velocity_direction_cosine,0.004995617040986375
0,block_shuffle_4,speed_profile_correlation,0.3141196531446794
0,block_shuffle_4,path_length_similarity,0.9602588295911214
0,block_shuffle_4,acceleration_direction_cosine,0.001109208096385703
0,block_shuffle_4,zero_lag_correlation,0.3690053772485505
0,block_shuffle_4,best_lag_correlation,0.40489481623556345
0,block_shuffle_8,position_correlation,0.22547214886781816
0,block_shuffle_8,position_cosine,0.28407735996464767
0,block_shuffle_8,normalized_position_rmse,1.1577246931092853
0,block_shuffle_8,velocity_direction_cosine,0.09954471262631642
0,block_shuffle_8,speed_profile_correlation,0.22213947275763182
0,block_shuffle_8,path_length_similarity,0.7821828742155106
0,block_shuffle_8,acceleration_direction_cosine,0.12240290781776814
0,block_shuffle_8,zero_lag_correlation,0.2575191522827466
0,block_shuffle_8,best_lag_correlation,0.26196412458417706
0,block_shuffle_16,position_correlation,0.33721695309682415
0,block_shuffle_16,position_cosine,0.37146290242113816
0,block_shuffle_16,normalized_position_rmse,1.112501689284088
0,block_shuffle_16,velocity_direction_cosine,0.13410642409739115
0,block_shuffle_16,speed_profile_correlation,0.2694125657840371
0,block_shuffle_16,path_length_similarity,0.8503666534591157
0,block_shuffle_16,acceleration_direction_cosine,0.09614778224321675
0,block_shuffle_16,zero_lag_correlation,0.3625314055850723
0,block_shuffle_16,best_lag_correlation,0.3697041312581123
0,block_shuffle_32,position_correlation,0.3158611891447911
0,block_shuffle_32,position_cosine,0.32500978638757194
0,block_shuffle_32,normalized_position_rmse,1.1581575758034413
0,block_shuffle_32,velocity_direction_cosine,0.1207283978751148
0,block_shuffle_32,speed_profile_correlation,0.4151266650943746
0,block_shuffle_32,path_length_similarity,0.9628582837948793
0,block_shuffle_32,acceleration_direction_cosine,0.10182663950866563
0,block_shuffle_32,zero_lag_correlation,0.3407673643057828
0,block_shuffle_32,best_lag_correlation,0.34279097077118587
1,condition_shuffle,position_correlation,-0.03599041602515636
1,condition_shuffle,position_cosine,-0.050954793039191884
1,condition_shuffle,normalized_position_rmse,1.4269667631738208
1,condition_shuffle,velocity_direction_cosine,-0.0565048882367527
1,condition_shuffle,speed_profile_correlation,0.0050594438386529356
1,condition_shuffle,path_length_similarity,0.8018186421443896
1,condition_shuffle,acceleration_direction_cosine,-0.05081743644151386
1,condition_shuffle,zero_lag_correlation,-0.0001399699355642374
1,condition_shuffle,best_lag_correlation,0.05805236278001573
1,circular_shift,position_correlation,0.16378970888274996
1,circular_shift,position_cosine,0.2335389433325631
1,circular_shift,normalized_position_rmse,1.2801815703128112
1,circular_shift,velocity_direction_cosine,0.014886425655642818
1,circular_shift,speed_profile_correlation,0.16375745814872048
1,circular_shift,path_length_similarity,0.8913967447695239
1,circular_shift,acceleration_direction_cosine,-0.031294619035769515
1,circular_shift,zero_lag_correlation,0.19288099829335217
1,circular_shift,best_lag_correlation,0.20393883432837906
1,frame_shuffle,position_correlation,0.24579371913225212
1,frame_shuffle,position_cosine,0.3154140931223535
1,frame_shuffle,normalized_position_rmse,1.1060170734352819
1,frame_shuffle,velocity_direction_cosine,-0.001544617211684417
1,frame_shuffle,speed_profile_correlation,0.11308832697978874
1,frame_shuffle,path_length_similarity,0.8669427609075583
1,frame_shuffle,acceleration_direction_cosine,-0.01923736942213244
1,frame_shuffle,zero_lag_correlation,0.28817501597105266
1,frame_shuffle,best_lag_correlation,0.3665320963374502
1,time_reversal,position_correlation,0.29107531876355264
1,time_reversal,position_cosine,0.33403511085265775
1,time_reversal,normalized_position_rmse,1.180312032190106
1,time_reversal,velocity_direction_cosine,0.14092075326495848
1,time_reversal,speed_profile_correlation,0.22513576712241645
1,time_reversal,path_length_similarity,0.8994601284272515
1,time_reversal,acceleration_direction_cosine,0.14665773452368683
1,time_reversal,zero_lag_correlation,0.3155587634522249
1,time_reversal,best_lag_correlation,0.31636380306532547
1,independent_neuron_shift,position_correlation,0.3324334026374771
1,independent_neuron_shift,position_cosine,0.36379808923949525
1,independent_neuron_shift,normalized_position_rmse,0.9851908095378423
1,independent_neuron_shift,velocity_direction_cosine,-0.020782559608403747
1,independent_neuron_shift,speed_profile_correlation,0.17349443472469128
1,independent_neuron_shift,path_length_similarity,0.6610887068595478
1,independent_neuron_shift,acceleration_direction_cosine,0.020559404717604795
1,independent_neuron_shift,zero_lag_correlation,0.36531159650372336
1,independent_neuron_shift,best_lag_correlation,0.42072223200013203
1,block_shuffle_4,position_correlation,0.3402546296735637
1,block_shuffle_4,position_cosine,0.373143359728988
1,block_shuffle_4,normalized_position_rmse,1.0171504164242327
1,block_shuffle_4,velocity_direction_cosine,0.04607348692761386
1,block_shuffle_4,speed_profile_correlation,0.2029219955280823
1,block_shuffle_4,path_length_similarity,0.9186238543716325
1,block_shuffle_4,acceleration_direction_cosine,0.0843682108378642
1,block_shuffle_4,zero_lag_correlation,0.3704829935800256
1,block_shuffle_4,best_lag_correlation,0.4194604573854836
1,block_shuffle_8,position_correlation,0.28123893425943675
1,block_shuffle_8,position_cosine,0.3319947686293598
1,block_shuffle_8,normalized_position_rmse,1.122329641633538
1,block_shuffle_8,velocity_direction_cosine,-0.006973649677755116
1,block_shuffle_8,speed_profile_correlation,0.2461859164984135
