model,family,metric,value
static,response,response_single_trial_neuron_mean_r,0.1534672091790142
static,response,response_single_trial_neuron_median_r,0.13860222031238395
static,response,response_condition_average_neuron_mean_r,0.2778315797053074
static,response,response_condition_average_neuron_median_r,0.2675858849884895
static,population_vector,population_vector_single_trial_mean_r,0.1716165180556958
static,population_vector,population_vector_single_trial_median_r,0.16266773309353422
static,population_vector,population_vector_condition_average_mean_r,0.30079781594591903
static,population_vector,population_vector_condition_average_spearman_mean_r,0.3609443564518947
static,temporal,temporal_difference_neuron_mean_r,0.021530157622282376
static,temporal,pooled_zero_lag_r,0.28866427160850505
static,temporal,pooled_best_lag_r,0.2959965592279217
static,temporal,pooled_best_lag_frames,-2.0
static,response,normalized_mse,0.9716007113456726
static,response,pooled_explained_variance,0.028399288654327393
static,temporal,temporal_std_ratio,0.31458147900025996
static,CKA,cka_single_trial_time_aligned,0.23901471182848083
static,CKA,cka_condition_average_time_aligned,0.44378315112595423
static,CKA,cka_temporal_difference,0.02996595786876803
static,CKA,cka_condition_pattern,0.8424923577476039
static,RSA,rsa_condition_spearman,0.27499999999999997
static,RSA,rsa_condition_pearson,0.3365192347156132
static,RSA,rsa_time_resolved_spearman_mean,0.3871428571428571
static,RSA,rsa_time_resolved_pearson_mean,0.4222521124315614
static,RSA,rsa_within_condition_temporal_spearman_mean,0.5534631866279995
static,RSA,rsa_within_condition_temporal_pearson_mean,0.59559975926977
static,RSA,rsa_condition_time_state_spearman,0.47129563712905825
static,RSA,rsa_condition_time_state_pearson,0.5992299388332492
dynamic,response,response_single_trial_neuron_mean_r,0.18123209152831493
dynamic,response,response_single_trial_neuron_median_r,0.16419143071865624
dynamic,response,response_condition_average_neuron_mean_r,0.3348215559852077
dynamic,response,response_condition_average_neuron_median_r,0.3341378524683801
dynamic,population_vector,population_vector_single_trial_mean_r,0.18954165721832952
dynamic,population_vector,population_vector_single_trial_median_r,0.1832844326776944
dynamic,population_vector,population_vector_condition_average_mean_r,0.3379823473620341
dynamic,population_vector,population_vector_condition_average_spearman_mean_r,0.39933842885919996
dynamic,temporal,temporal_difference_neuron_mean_r,0.08965399912551539
dynamic,temporal,pooled_zero_lag_r,0.3271295004060945
dynamic,temporal,pooled_best_lag_r,0.3271671453050849
dynamic,temporal,pooled_best_lag_frames,1.0
dynamic,response,normalized_mse,0.9653725624084473
dynamic,response,pooled_explained_variance,0.034627437591552734
dynamic,temporal,temporal_std_ratio,0.31511590610990037
dynamic,CKA,cka_single_trial_time_aligned,0.26425116917590075
dynamic,CKA,cka_condition_average_time_aligned,0.4952456097399788
dynamic,CKA,cka_temporal_difference,0.09373656499783735
dynamic,CKA,cka_condition_pattern,0.8486006033708718
dynamic,RSA,rsa_condition_spearman,0.3428571428571428
dynamic,RSA,rsa_condition_pearson,0.3038153109527031
dynamic,RSA,rsa_time_resolved_spearman_mean,0.4392857142857142
dynamic,RSA,rsa_time_resolved_pearson_mean,0.4641505002102246
dynamic,RSA,rsa_within_condition_temporal_spearman_mean,0.6426902521139123
dynamic,RSA,rsa_within_condition_temporal_pearson_mean,0.6820130286933713
dynamic,RSA,rsa_condition_time_state_spearman,0.5203738270835601
dynamic,RSA,rsa_condition_time_state_pearson,0.6415647520571537
